submitted_on,water_point_name,latitude,longitude,total_users_of_water_point,water_point_photos,likely_submerged_during_flood,evidence_submerged,evidence_not_submerged,functional_status,pumpable_at_visit,reported_problems,reported_problems_other,water_quality_problems,civil_works_problems,civil_works_photo,pump_problems,pump_problems_other,pump_problems_photo,pump_operational_feel,time_to_pump_20l,strokes_to_yield_water,sediment_presence,electrical_conductivity_magnitude,electrical_conductivity_units,total_dissolved_solids_ppt,ph,fluoride_ppm,ammonia_mg_per_l,nitrate_mg_per_l,free_chlorine_mg_per_l,arsenic_magnitude,arsenic_units,turbidity_magnitude,turbidity_units,temperature_magnitude,temperature_units,temperature_time,comments,sample_type,sample_date,mpn_100ml,upper_95_ci_100ml,health_risk_category,color_change_image
01/12/2019,Shuga water point 2,-15.8349133,35.4976521,150,https://api.mwater.co/v3/images/acf897d730a04d0cb7c9ce42cb7db576,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,49.09,1,Absent,374,?S / cm,0.25,6.8,0.08,0.51,0.09,0,0,ppb,5,NTU,31,C,NA,NA,Point of collection,1/31/2020,0,2.87,safe,https://api.mwater.co/v3/images/9b3d779594414ae7860fc55f904a11e9
06/02/2020,Shuga water point 2,-15.8349133,35.4976521,280,https://api.mwater.co/v3/images/466ef7fe52a34371bcfbebb0b7ba0939,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,47.88,1,Absent,374,?S / cm,0.21,7.11,0.23,0.48,0.11,0,0,ppb,5,NTU,28.4,C,NA,NA,Point of collection,1/31/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/1f3c4bfb862d49fe948f25d39074b67d
24/06/2019,Nogwe Primary School water point,-15.8361065,35.5067288,250,https://api.mwater.co/v3/images/cdda45a6cec44097b6c93157e1d4eb4b,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,53.8,1,Absent,5.9,?S / cm,0.25,6.9,0.28,1.4,0.51,0,0,ppb,5,NTU,30,C,NA,NA,Point of collection,1/31/2020,48.3,351.91,probably_unsafe,https://api.mwater.co/v3/images/1648c6e2753d4f618b8138bfd91e6fcd
23/11/2019,Nogwe Primary School water point,-15.8361065,35.5067288,210,https://api.mwater.co/v3/images/a396438ff6624d7e9b0d338f878b0c00,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,45.977,1,Absent,453,?S / cm,0.22,6.62,0.2,0.35,0.7,0,0,ppb,5,NTU,28.3,C,NA,The borehole is in hood condition,Point of collection,1/31/2020,3.4,12.53,possibly_safe,https://api.mwater.co/v3/images/4604821ba8e84087b47d9255e46227ba
06/02/2020,Nogwe Primary School water point,-15.8361065,35.5067288,850,https://api.mwater.co/v3/images/d3c1a35416c64c7fabe4163a7072fc00,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,44.062,1,Absent,657,?S / cm,0.3,6.23,0.1,0.8,0.6,0,0,ppb,5,NTU,27,C,NA,The borehole is in good condition,Point of collection,1/31/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/c3c8fca1a0804beba79e9a42d3dec2f9
27/06/2019,Nogwe water point 3,-15.8367459,35.5150015,270,https://api.mwater.co/v3/images/3bffd4919ce04d498d3f92223e1ce671,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,44.243,1,Absent,724,?S / cm,0.35,7.06,0.3,0.25,0.1,0,0,ppb,5,NTU,29.6,C,NA,The borehole is in good condition,Point of collection,1/31/2020,0,2.87,safe,https://api.mwater.co/v3/images/a63bf0645d154054901ae2e33e1dc742
01/12/2019,Nogwe water point 3,-15.8367459,35.5150015,170,https://api.mwater.co/v3/images/b712ce2a0fce41f2a1989db9ea83ae88,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,41.179,1,Absent,193.4,?S / cm,0.09,7.06,0.2,0.05,0.5,0,0,ppb,5,NTU,28.7,C,NA,The borehole is in good condition,Point of collection,1/31/2020,0,2.87,safe,https://api.mwater.co/v3/images/ddd527c7048d4b098c5c2a51cc3ddaa6
06/02/2020,Nogwe water point 3,-15.8367459,35.5150015,2500,https://api.mwater.co/v3/images/cec10110df27454ba9803bcae79e6897,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,46.018,1,Absent,144,?S / cm,0.07,6.58,0.2,0.25,0.7,0,0,ppb,5,NTU,31.2,C,NA,The borehole is in good condition,Point of collection,1/31/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/31508840f42a45fb8b69b333d2390cfa
30/11/2019,Chole borehole,-15.8572531,35.5635416,225,https://api.mwater.co/v3/images/0c942e93fa4041f29eb1cd343c5a93c6,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,67.221,1,Absent,285,?S / cm,0.11,7.1,0.14,0.58,0.89,NA,NA,NA,5,NTU,28.8,C,NA,NA,Point of collection,1/31/2020,0,2.87,safe,https://api.mwater.co/v3/images/0ed1df49c33c4fdc9b6c3943cdcc9f6f
31/01/2020,Chole borehole,-15.8572531,35.5635416,340,https://api.mwater.co/v3/images/f3e2254b0c9345c79dc960800bc9b40e,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,48.48,2,Absent,451,?S / cm,0.12,7.2,0.27,0.51,0.09,0,0,ppb,5,NTU,30,C,NA,NA,Point of collection,1/31/2020,0,2.87,safe,https://api.mwater.co/v3/images/c6a1bdbf08974926b8e4ac0682ce36b3
29/11/2019,Nchiwi  borehole 01,-15.97548,35.3472383,350,https://api.mwater.co/v3/images/84670dcde5a74f12a946d9135e175b28,Yes,Local report seeing the water point submerged,NA,Partially functional but in need of repair,Yes,Water quality,NA,Bad colour,NA,NA,NA,NA,NA,Significant friction (very stiff) on down stroke,49.681,2,Absent,548,?S / cm,0.23,7.1,0.11,0.56,0.24,0,0,ppb,50,NTU,29.6,C,NA,NA,Point of collection,1/30/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/49f1ca3c68e648d4a21d5813ced8823b
08/02/2020,Nchiwi  borehole 01,-15.97548,35.3472383,150,https://api.mwater.co/v3/images/ef8205d9983449a79db3471c57e83d36,No,NA,Local report not seeing the water point submerged,Functional,Yes,Water quality,NA,Bad colour,NA,NA,NA,NA,NA,Normal/satisfactory,72.009,1,Present,465,?S / cm,0.24,7,0.43,0.34,0.11,0,0,ppb,100,NTU,28,C,NA,NA,Point of collection,1/30/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/31686af3d6bd4e4cb1d02885e05d0dc5
28/06/2019,Chanje borehole 9,-15.7618931,35.4838973,450,https://api.mwater.co/v3/images/be41afc3aff0482a94a5ce817f966fbb,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,70.507,1,Absent,481,?S / cm,0.22,7.2,0.76,1.8,0.71,0,0,ppb,5,NTU,29.3,C,NA,NA,Point of collection,1/30/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/0b6c066c0fe948a698182113d31ad4f2
22/12/2019,Chanje borehole 9,-15.7618931,35.4838973,370,https://api.mwater.co/v3/images/a96fec3aa33a4c128d151ed94c177e1e,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,63.404,1,Absent,401,?S / cm,0.21,7.2,0.11,0.45,0.2,0,0,ppb,5,NTU,28.9,C,NA,NA,Point of collection,1/30/2020,3.2,11.82,possibly_safe,https://api.mwater.co/v3/images/c6a57010b138493c8225c0006b333628
08/02/2020,Chanje borehole 9,-15.7618931,35.4838973,200,https://api.mwater.co/v3/images/c9bf9add14ca499982ae96be631b3522,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,63.806,1,Absent,544,?S / cm,0.26,7.2,0.15,0.48,0.51,0,0,ppb,5,NTU,30.3,C,NA,NA,Point of collection,1/30/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/80e1054b546b405e98da7646c279dfe2
22/06/2019,Masamba borehole 2,-15.7020905,35.4410336,300,https://api.mwater.co/v3/images/6b3219326b304a5e82d651f24479175b,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,92.82,1,Absent,361,?S / cm,0.14,7.2,0.26,0.42,0.31,0,0,ppb,5,NTU,29,C,NA,NA,Point of collection,1/30/2020,5.4,12.93,possibly_safe,https://api.mwater.co/v3/images/ebdc42dfe74b4412ae7bb0be725d078a
28/11/2019,Masamba borehole 2,-15.7020905,35.4410336,450,https://api.mwater.co/v3/images/1e8b37c9d2a243859f9c3a32877d1c0b,No,NA,Local report not seeing the water point submerged,Functional,Yes,Water quality,NA,Salinity / saltiness,NA,NA,NA,NA,NA,Normal/satisfactory,61.207,1,Absent,4.3,?S / cm,2.33,7.06,1,0.3,2,0,0,ppb,5,NTU,32.5,C,NA,NA,Point of collection,1/31/2020,0,2.87,safe,https://api.mwater.co/v3/images/dd4abbc29b04498791ddf1c8fd611b4f
09/02/2020,Masamba borehole 2,-15.7020905,35.4410336,300,https://api.mwater.co/v3/images/15b7c517291e449b8106011c42dc265d,No,NA,Local report not seeing the water point submerged,Functional,Yes,Water quality,NA,Salinity / saltiness,NA,NA,NA,NA,NA,Normal/satisfactory,59.788,1,Absent,3.89,mS / cm,2.09,7.2,0.8,0.05,3,0,0,ppb,5,NTU,33.2,C,NA,The water is too salty,Point of collection,1/31/2020,1.5,7.81,probably_safe,https://api.mwater.co/v3/images/1d55d1091ea54646ad0bfb25c5fb9048
18/06/2019,Khokholiwa borehole 12,-15.6960623,35.5053425,750,https://api.mwater.co/v3/images/153fb891f4e348f795f1f2baa330cc6e,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,58.513,1,Absent,816,?S / cm,0.41,7.43,0.6,0.12,0.1,0,5,ppb,5,NTU,32.1,C,NA,NA,Point of collection,1/31/2020,0,2.87,safe,https://api.mwater.co/v3/images/bc0790492243418ba2c14b9d1d7f8e8f
28/11/2019,Khokholiwa borehole 12,-15.6960623,35.5053425,700,https://api.mwater.co/v3/images/eec83f855d164205abe2cd1eec7c1d78,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Partially functional but in need of repair,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,62.035,5,Absent,909,?S / cm,0.43,7.27,0.2,2,1.5,0,0,ppb,5,NTU,29.1,C,NA,NA,Point of collection,1/31/2020,1.5,7.81,probably_safe,https://api.mwater.co/v3/images/4ebd93e221634f34818e36c461bc6186
09/02/2020,Khokholiwa borehole 12,-15.6960623,35.5053425,814,https://api.mwater.co/v3/images/a85468804aad4615ba8cdeb59451ff89,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Functional,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Pedestal cracked or damaged, Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/610b4928e1fc488790289321d4272956,NA,NA,NA,Very light,64.541,9,Absent,480,?S / cm,0.23,7.54,0.4,0.4,0.2,0,5,ppb,5,NTU,27.9,C,NA,NA,Point of collection,1/31/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/6295318daeda40cca6dc634ab42f5e9c
02/02/2020,Tepani borehole,-15.67436637,35.46948997,1659,https://api.mwater.co/v3/images/10b00a1efbe74672898fe9fa8275fe3e,No,NA,Local report not seeing the water point submerged,Functional,Yes,Water quality,NA,Salinity / saltiness,NA,NA,NA,NA,NA,Normal/satisfactory,52.063,1,Absent,5.35,mS / cm,2.91,7.06,0.6,0.4,0.2,0,5,ppb,5,NTU,28.3,C,NA,The water is too salty,Point of collection,1/31/2020,0,2.87,safe,https://api.mwater.co/v3/images/9fab2a8dc70549229d634ff800bb0145
18/06/2019,Lolo borehole,-15.6743995,35.4787421,684,https://api.mwater.co/v3/images/13bb402955964b42845d0154c59992ee,No,NA,Local report not seeing the water point submerged,Functional,Yes,Water quality,NA,Bad taste,NA,NA,NA,NA,NA,NA,59.118,1,Absent,1451,?S / cm,0.72,7.41,0.4,0.2,0.3,0,0,ppb,5,NTU,28,C,NA,Salty water,Point of collection,1/31/2020,0,2.87,safe,https://api.mwater.co/v3/images/e075ec5e40984552aef1b0a22c64b98c
03/12/2019,Lolo borehole,-15.6743995,35.4787421,1100,https://api.mwater.co/v3/images/2ce2fe281d644aaeaeeb2e0ba660b211,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Water quality,NA,Bad taste,NA,NA,NA,NA,NA,Very light,67.345,10,Absent,3.7,mS / cm,1.85,7.2,0,0.2,0.6,0,0,ppb,5,NTU,30.3,C,NA,The community is careless to take time and check the problem of the borehole on what is causing many Stokes,Point of collection,1/30/2020,0,2.87,safe,https://api.mwater.co/v3/images/1e817dcd8cab4dfd9474e3991e3a8fdc
02/02/2020,Lolo borehole,-15.6743995,35.4787421,326,https://api.mwater.co/v3/images/fdf6116de91a42048bea1dcafa1624af; https://api.mwater.co/v3/images/2f093e1f4e88476cb972fd1b7c5b5664,Yes,Local report seeing the water point submerged,NA,Functional,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/f2debeda68ca4609b7ffa848af785ee2,NA,NA,NA,Normal/satisfactory,63.416,1,Absent,621,?S / cm,0.27,7.34,0.4,0.2,0.2,0,0,ppb,5,NTU,28.6,C,NA,NA,Point of collection,1/30/2020,0,2.87,safe,https://api.mwater.co/v3/images/254c58c4f1de4b90aa0e4b1fe5cb3073
29/11/2019,Kamwendo borehole 11,-15.6686221,35.4752773,200,https://api.mwater.co/v3/images/7e0f5e9c1f2d4e79be5cd2554c0c825d,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,59.411,1,Absent,850,?S / cm,0.41,7.45,0.2,0.25,0,0,0,ppb,5,NTU,28.8,C,NA,NA,Point of collection,1/30/2020,0,2.87,safe,https://api.mwater.co/v3/images/be2647bee02347e0aa9b17bed7908085
08/07/2019,Mlele borehole,-15.9370362,35.4290266,310,https://api.mwater.co/v3/images/ebb3615e647849078a509c6d7b46d621,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,66.679,1,Absent,506,?S / cm,0.24,7.45,0.2,0.2,0.4,0,0,ppb,5,NTU,29.5,C,NA,NA,Point of collection,1/30/2020,48.3,351.91,probably_unsafe,https://api.mwater.co/v3/images/c0fe946453034185a02dfc93c2012484
25/11/2019,Mlele borehole,-15.9370362,35.4290266,1500,https://api.mwater.co/v3/images/a32ae965128b407a8cf549ff4376c302,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,57.423,1,Absent,1390,?S / cm,0.7,7.32,0.8,0.25,1,0,5,ppb,5,NTU,28.1,C,NA,NA,Point of collection,1/30/2020,0,2.87,safe,https://api.mwater.co/v3/images/19b9f5a3ea0b4d1eb5722670679a9c67
31/01/2020,Mlele borehole,-15.9370362,35.4290266,517,https://api.mwater.co/v3/images/1236cd498b10493d9fbde2c1aa284550,No,NA,Local report not seeing the water point submerged,Functional,Yes,Water quality,NA,Salinity / saltiness,NA,NA,NA,NA,NA,Normal/satisfactory,52.836,1,Absent,4.6,mS / cm,2.5,7.13,0.4,0.25,2,0,5,ppb,0,NTU,29.1,C,NA,NA,Point of collection,1/30/2020,0,2.87,safe,https://api.mwater.co/v3/images/91bf2dd7f67240569080e33ad3109f00
18/06/2019,Sankhani borehole,-15.9381273,35.4206796,150,https://api.mwater.co/v3/images/7011f3a1fcd840d7b1e1d88ba05c18f6,Yes,Local report seeing the water point submerged,NA,Not functional,NA,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/97d6107adde049399f36298e56b31c42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blank,1/29/2020,NA,NA,NA,NA
04/12/2019,Sankhani borehole,-15.9381273,35.4206796,258,https://api.mwater.co/v3/images/ec1576b4850840f4becd41079a8ab4d5,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,41.462,2,Absent,466,?S / cm,0.18,7.12,0.2,0.15,0.6,0,5,ppb,5,NTU,31.4,C,NA,The bolehole is functioning and in good condition,Point of collection,1/31/2020,0,2.87,safe,https://api.mwater.co/v3/images/ff02e6e9260a487987a9a1499c599759
02/02/2020,Sankhani borehole,-15.9381273,35.4206796,189,https://api.mwater.co/v3/images/d48f78f312d6486aad94777ea31c9b6a,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,42.891,3,Absent,139.1,?S / cm,0.07,6.84,0.4,0.1,0.5,0,0,ppb,5,NTU,28.8,C,NA,The bolehole is functioning and in good condition,Point of collection,1/31/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/b43601103760412299a8f17f7b3afc95
26/11/2019,Kumponya Borehole,-15.8757667,35.3595446,265,https://api.mwater.co/v3/images/23c5a5e874304ee8919c6cae0ed714e4,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,42.48,2,Absent,120,?S / cm,0.06,6.57,0.4,0.25,0.8,0,0,ppb,5,NTU,28.4,C,NA,The bolehole is functioning and in good condition,Point of collection,1/31/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/791fe72f1dc84f2da4594f7f7d5edb5d
11/02/2020,Kumponya Borehole,-15.8757667,35.3595446,243,https://api.mwater.co/v3/images/94a4b578d9e641b5b8986d091fb5eb61,No,NA,Local report not seeing the water point submerged,Functional,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,Platform cracked or damaged,https://api.mwater.co/v3/images/6b53e03a225242de92472d54d367838f,NA,NA,NA,Normal/satisfactory,51.789,2,Absent,228.8,?S / cm,11,6.43,0.3,0.3,0.8,0,5,ppb,5,NTU,28.6,C,NA,The bolehole is functioning and in good condition,Point of collection,1/31/2020,4.7,22.75,possibly_safe,https://api.mwater.co/v3/images/5f56044426e14dd6889f187ee955a9c8
28/11/2019,Misomali Borehole 1,-15.8720392,35.3645017,253,https://api.mwater.co/v3/images/970ad16f8966470d88089fbc03a62ad2,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,41.928,2,Absent,1940,?S / cm,0.99,6.93,0.4,0.3,0.1,0,0,ppb,5,NTU,28.6,C,NA,The bolehole is functioning and in good condition,Point of collection,1/24/2020,0,2.87,safe,https://api.mwater.co/v3/images/ed11e2916e8c46c58ed870ff4a26166d
08/02/2020,Misomali Borehole 1,-15.8720392,35.3645017,2540,https://api.mwater.co/v3/images/dfdd9fec1e9940ee89c17fc83a4e3398,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,84.762,3,Absent,830,?S / cm,0.4,7.3,0.2,0.7,0.4,0,0,ppb,5,NTU,29.4,C,NA,NA,Point of collection,2/2/2020,0,2.87,safe,https://api.mwater.co/v3/images/e620dfd8035d43949166a00081bb6d75
02/07/2019,Chapweteka Borehole 1,-15.8853903,35.3361042,594,https://api.mwater.co/v3/images/ef79ddd499b34ff29afcd1e936ec107c,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,72.781,3,Absent,790,?S / cm,0.37,7.1,1.01,0.2,0.4,0,0,ppb,5,NTU,28.5,C,NA,NA,Point of collection,2/2/2020,0,2.87,safe,https://api.mwater.co/v3/images/8e0743a068e34a8f89ce6a4ee8aac52f
22/11/2019,Chapweteka Borehole 1,-15.8853903,35.3361042,2100,https://api.mwater.co/v3/images/fd39a8b48b49420abd9f03df70d177d8,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,57.712,2,Absent,245,?S / cm,0.15,7.01,0.2,0.16,0.8,0,0,ppb,5,NTU,29.8,C,NA,NA,Point of collection,2/2/2020,0,2.87,safe,https://api.mwater.co/v3/images/94437b1609214a8b8b8620c2126a88b8
03/07/2019,Chapweteka Borehole 2,-15.8813325,35.3414446,415,https://api.mwater.co/v3/images/c00feeb568d942b498e37257177b0784,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,44.374,3,Absent,417,?S / cm,0.2,7.32,0.19,0.17,0.9,0,0,ppb,5,NTU,28.2,C,NA,NA,Point of collection,2/2/2020,0,2.87,safe,https://api.mwater.co/v3/images/d49a11cb783f4b6db4bc1e8efdc7c10e
13/02/2020,Chapweteka Borehole 2,-15.8813325,35.3414446,320,https://api.mwater.co/v3/images/8d800a482da140de8f1adedc8fb32875,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,71.21,2,Absent,676,?S / cm,0.33,7.3,0.3,0.17,0.7,0,0,ppb,5,NTU,28,C,NA,NA,Point of collection,2/2/2020,0,2.87,safe,https://api.mwater.co/v3/images/9f5a816f28154f49bf92f5d1b2ec1a03
02/12/2019,Chapweteka Borehole 3,-15.8796215,35.3472599,305,https://api.mwater.co/v3/images/007028e2deab467791377af8d3631dc0,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,44.187,3,Absent,1085,?S / cm,0.55,6.98,0.05,0.15,0.8,0,0,ppb,5,NTU,29,C,NA,NA,Point of collection,2/2/2020,0,2.87,safe,https://api.mwater.co/v3/images/4afdd265796f4a6d848ff5c8e08d9eeb
09/02/2020,Chapweteka Borehole 3,-15.8796215,35.3472599,640,https://api.mwater.co/v3/images/71acb8ff68d64085b313c9b03e4cde96,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,54.025,4,Absent,150,?S / cm,0.12,7.1,0.09,0.5,0.6,0,0,ppb,5,NTU,28.4,C,NA,NA,Point of collection,2/2/2020,0,2.87,safe,https://api.mwater.co/v3/images/c3802c17c92d48c39b3ea0bac26e6ac0
01/12/2019,Balakasi borehole 1,-15.68723,35.3892817,250,https://api.mwater.co/v3/images/9515e206fa7c4c079547e9e0e4a0db8b,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,Water quality,NA,"Bad colour, Other",NA,NA,NA,NA,NA,Very light,90.959,5,Present,114.7,?S / cm,0.05,7.6,0.54,0.3,0.38,0,0,ppb,300,NTU,30.1,C,NA,NA,Point of collection,2/2/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/5fbbaf82c41342fda2b463406b4adb4b
02/07/2019,Wanama borehole 1,-15.8693765,35.3935475,300,https://api.mwater.co/v3/images/aaf650b57520499a9e8209e4615d7f11,No,NA,Local report not seeing the water point submerged,Not functional,NA,Other,The borehole is not functioning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/11/2019,Wanama borehole 1,-15.8693765,35.3935475,250,https://api.mwater.co/v3/images/a8ed69b7fdbb4a92b18ae4a2e443c7ce,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,53.565,2,Absent,700,?S / cm,0.18,6.9,0.04,0.5,0.1,0,0,ppb,5,NTU,30,C,NA,NA,Point of collection,1/29/2020,13.6,83.06,possibly_unsafe,https://api.mwater.co/v3/images/ed612fde98444c7fb9021f625fa4ccbd
05/02/2020,Wanama borehole 1,-15.8693765,35.3935475,285,https://api.mwater.co/v3/images/98dc2e8eafe646f4b934df98ea7a7f06,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,48.932,4,Absent,133.9,?S / cm,0.06,6.9,0.2,0.5,0.4,0,0,ppb,5,NTU,30.5,C,NA,The bolehole is functioning and in good condition,Point of collection,1/29/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/11ea679f17d040419508aa58609c02d4
03/07/2019,Wanama borehole 3,-15.8707732,35.3990032,621,https://api.mwater.co/v3/images/2c3ecb8c40be4830bdea4ee48484bf3e,Yes,Local report seeing the water point submerged,NA,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/d87b9a8df3214afca28481a3b0a658af,NA,NA,NA,Significant friction (very stiff) on down stroke,62.684,2,Absent,2245,?S / cm,1.17,7.25,1,3,1,0,0,ppb,5,NTU,32.1,C,NA,The water has alot of ammonia due to heavy fertilizer application around the borehole.,Point of collection,1/29/2020,0,2.87,safe,https://api.mwater.co/v3/images/7dd8194a6034471e8a0bfe2b6c9fb553
26/11/2019,Wanama borehole 3,-15.8707732,35.3990032,300,https://api.mwater.co/v3/images/5a99b1b6682f4dfbbe355d62e12b6b79,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,59.201,1,Absent,187,?S / cm,0.12,7,0.28,0.51,0.41,0,0,ppb,5,NTU,30,C,NA,NA,Point of collection,2/4/2020,0,2.87,safe,https://api.mwater.co/v3/images/3f49f7d7a8cb470c85bc1bf7bca4fd73
05/02/2020,Wanama borehole 3,-15.8707732,35.3990032,380,https://api.mwater.co/v3/images/312e9c3ce4ed42058db78cd7b827fde2,No,NA,Local report not seeing the water point submerged,Functional,Yes,Water quality,NA,Bad colour,NA,NA,NA,NA,NA,Normal/satisfactory,57.982,1,Present,198,?S / cm,0.13,6.8,0.22,0.49,0.58,0,0,ppb,200,NTU,29.2,C,NA,NA,Point of collection,2/4/2020,0,2.87,safe,https://api.mwater.co/v3/images/2935622af9214252a9d0facb9b31d79e
26/11/2019,Mauni primary school borehole,-15.8705346,35.4000628,125,https://api.mwater.co/v3/images/7c742a95650348479d0ea097f0d6ab21,No,NA,Local report not seeing the water point submerged,Functional,Yes,Water quality,NA,Bad colour,NA,NA,NA,NA,NA,Normal/satisfactory,50.432,2,Present,201,?S / cm,0.1,6.9,0.29,0.55,0.57,0,0,ppb,50,NTU,30.1,C,NA,NA,Point of collection,2/4/2020,0,2.87,safe,https://api.mwater.co/v3/images/4de95c3414814b83b0f1703411a9fbd4
